Dye/Sample Peak	Sample File Name	Size	Height	Area	Data Point
"B,51"	MAR22_EW_2007-03-22_A12_unknown.fsa	535.27	101	1890	8616
"B,52"	MAR22_EW_2007-03-22_A12_unknown.fsa	554.69	237	16441	8863
"B,53"	MAR22_EW_2007-03-22_A12_unknown.fsa	609.8	99	1760	9533
"B,54"	MAR22_EW_2007-03-22_A12_unknown.fsa	610.41	99	1321	9540
"B,55"	MAR22_EW_2007-03-22_A12_unknown.fsa	671.61	99	1303	10209
"B,56"	MAR22_EW_2007-03-22_A12_unknown.fsa	673.94	153	3414	10233
"B,57"	MAR22_EW_2007-03-22_A12_unknown.fsa	674.62	151	1041	10240
"B,58"	MAR22_EW_2007-03-22_A12_unknown.fsa	675.01	153	4300	10244
"B,59"	MAR22_EW_2007-03-22_A12_unknown.fsa	721.46	95	1242	10699
"B,60"	MAR22_EW_2007-03-22_A12_unknown.fsa	722.19	95	845	10706
"B,61"	MAR22_EW_2007-03-22_A12_unknown.fsa	963.01	216	4739	12133
"B,62"	MAR22_EW_2007-03-22_A12_unknown.fsa	969.1	276	5832	12153
"B,63"	MAR22_EW_2007-03-22_A12_unknown.fsa	970.69	276	1361	12158
"B,64"	MAR22_EW_2007-03-22_A12_unknown.fsa	972.96	278	6444	12165
"B,65"	MAR22_EW_2007-03-22_A12_unknown.fsa	980.12	233	3062	12186
"B,66"	MAR22_EW_2007-03-22_A12_unknown.fsa	984.83	197	2818	12199
"B,67"	MAR22_EW_2007-03-22_A12_unknown.fsa	990.56	180	1399	12214
"B,68"	MAR22_EW_2007-03-22_A12_unknown.fsa	992.94	172	847	12220
"B,69"	MAR22_EW_2007-03-22_A12_unknown.fsa	994.15	170	837	12223
"B,70"	MAR22_EW_2007-03-22_A12_unknown.fsa	996.2	170	1165	12228
"B,71"	MAR22_EW_2007-03-22_A12_unknown.fsa	999.14	166	987	12235
"B,72"	MAR22_EW_2007-03-22_A12_unknown.fsa		164	985	12240
"B,73"	MAR22_EW_2007-03-22_A12_unknown.fsa		174	2043	12250
"B,74"	MAR22_EW_2007-03-22_A12_unknown.fsa		178	1390	12258
"B,75"	MAR22_EW_2007-03-22_A12_unknown.fsa		176	1206	12262
"B,76"	MAR22_EW_2007-03-22_A12_unknown.fsa		170	1999	12269
"B,77"	MAR22_EW_2007-03-22_A12_unknown.fsa		166	1767	12280
"B,78"	MAR22_EW_2007-03-22_A12_unknown.fsa		157	2302	12289
"B,79"	MAR22_EW_2007-03-22_A12_unknown.fsa		126	2941	12304
