Dye/Sample Peak	Sample File Name	Size	Height	Area	Data Point
"B,1"	MAR22_EW_2007-03-22_A12_unknown.fsa	27.54	924	13513	2025
"B,2"	MAR22_EW_2007-03-22_A12_unknown.fsa	29.58	4039	57215	2049
"B,3"	MAR22_EW_2007-03-22_A12_unknown.fsa	30.68	6294	136632	2062
"B,4"	MAR22_EW_2007-03-22_A12_unknown.fsa	33.05	648	6873	2090
"B,5"	MAR22_EW_2007-03-22_A12_unknown.fsa	35.08	657	10507	2114
"B,6"	MAR22_EW_2007-03-22_A12_unknown.fsa	38.47	755	12332	2154
"B,7"	MAR22_EW_2007-03-22_A12_unknown.fsa	247.76	111	2799	4721
"B,8"	MAR22_EW_2007-03-22_A12_unknown.fsa	259.63	157	3928	4881
"B,9"	MAR22_EW_2007-03-22_A12_unknown.fsa	262.24	233	5615	4916
"B,10"	MAR22_EW_2007-03-22_A12_unknown.fsa	268.44	141	2176	4999
"B,11"	MAR22_EW_2007-03-22_A12_unknown.fsa	268.89	141	1990	5005
"B,12"	MAR22_EW_2007-03-22_A12_unknown.fsa	271.65	502	11256	5042
"B,13"	MAR22_EW_2007-03-22_A12_unknown.fsa	275.01	191	5667	5087
"B,14"	MAR22_EW_2007-03-22_A12_unknown.fsa	288.67	95	2377	5271
"B,15"	MAR22_EW_2007-03-22_A12_unknown.fsa	295.74	855	39238	5367
"B,16"	MAR22_EW_2007-03-22_A12_unknown.fsa	302.11	1039	35250	5454
"B,17"	MAR22_EW_2007-03-22_A12_unknown.fsa	305.1	870	41219	5495
"B,18"	MAR22_EW_2007-03-22_A12_unknown.fsa	313.76	596	26656	5614
"B,19"	MAR22_EW_2007-03-22_A12_unknown.fsa	316.52	360	3217	5652
"B,20"	MAR22_EW_2007-03-22_A12_unknown.fsa	316.88	358	2496	5657
"B,21"	MAR22_EW_2007-03-22_A12_unknown.fsa	317.39	358	3547	5664
"B,22"	MAR22_EW_2007-03-22_A12_unknown.fsa	317.9	350	5073	5671
"B,23"	MAR22_EW_2007-03-22_A12_unknown.fsa	321.68	2231	84892	5723
"B,24"	MAR22_EW_2007-03-22_A12_unknown.fsa	324.97	304	8796	5768
"B,25"	MAR22_EW_2007-03-22_A12_unknown.fsa	329.13	170	3453	5825
"B,26"	MAR22_EW_2007-03-22_A12_unknown.fsa	329.86	178	2456	5835
"B,27"	MAR22_EW_2007-03-22_A12_unknown.fsa	330.52	166	824	5844
"B,28"	MAR22_EW_2007-03-22_A12_unknown.fsa	330.88	164	1138	5849
"B,29"	MAR22_EW_2007-03-22_A12_unknown.fsa	331.4	161	4847	5856
"B,30"	MAR22_EW_2007-03-22_A12_unknown.fsa	339.71	130	1938	5970
"B,31"	MAR22_EW_2007-03-22_A12_unknown.fsa	340.29	141	1215	5978
"B,32"	MAR22_EW_2007-03-22_A12_unknown.fsa	342.17	222	9189	6004
"B,33"	MAR22_EW_2007-03-22_A12_unknown.fsa	346.43	151	2764	6063
"B,34"	MAR22_EW_2007-03-22_A12_unknown.fsa	346.87	157	1219	6069
"B,35"	MAR22_EW_2007-03-22_A12_unknown.fsa	347.16	147	1248	6073
"B,36"	MAR22_EW_2007-03-22_A12_unknown.fsa	347.73	132	3035	6081
"B,37"	MAR22_EW_2007-03-22_A12_unknown.fsa	355.82	364	13082	6193
"B,38"	MAR22_EW_2007-03-22_A12_unknown.fsa	411.25	134	3399	6957
"B,39"	MAR22_EW_2007-03-22_A12_unknown.fsa	411.83	120	2555	6965
"B,40"	MAR22_EW_2007-03-22_A12_unknown.fsa	419.56	226	11460	7070
"B,41"	MAR22_EW_2007-03-22_A12_unknown.fsa	456.33	159	8171	7576
"B,42"	MAR22_EW_2007-03-22_A12_unknown.fsa	485.59	559	17497	7969
"B,43"	MAR22_EW_2007-03-22_A12_unknown.fsa	485.89	561	16448	7973
"B,44"	MAR22_EW_2007-03-22_A12_unknown.fsa	515.89	107	1955	8368
"B,45"	MAR22_EW_2007-03-22_A12_unknown.fsa	516.35	101	504	8374
"B,46"	MAR22_EW_2007-03-22_A12_unknown.fsa	516.66	99	494	8378
"B,47"	MAR22_EW_2007-03-22_A12_unknown.fsa	516.97	97	2128	8382
"B,48"	MAR22_EW_2007-03-22_A12_unknown.fsa	531.42	178	6321	8567
"B,49"	MAR22_EW_2007-03-22_A12_unknown.fsa	531.82	182	1773	8572
"B,50"	MAR22_EW_2007-03-22_A12_unknown.fsa	532.52	174	4856	8581
