[FRAGMENT LIST]
Std	Peak#	DyeName	MigTime	StdSize	EstSize	Height	Area	Width	Mobility	Efficiency	Resolution	Locus	AlleleID	NumRepeat	Comment	
	  1 	D4	19.48	0	60.40	6969	17412	1.99	0.00021179							
	  2 	D1	19.58	0	62.01	439	323	0.59	0.00021063							
	  3 	D4	19.63	0	62.76	1299	3218	1.98	0.00021009							
	  4 	D4	19.64	0	62.89	319	790	1.98	0.00021000							
	  5 	D4	19.72	0	64.09	1002	2473	1.97	0.00020915							
 * 	  6 	D1	19.77	60	64.78	5963	4810	0.66	0.00020866	815423	0.53					
	  7 	D4	19.83	0	65.72	1338	3284	1.96	0.00020800							
	  8 	D4	19.86	0	66.14	534	1307	1.95	0.00020772							
	  9 	D4	20.00	0	68.25	2834	6892	1.94	0.00020626							
	  10 	D1	20.03	0	68.72	193	108	0.60	0.00020593							
	  11 	D4	20.15	0	70.47	1316	3180	1.93	0.00020474							
	  12 	D1	20.16	0	70.64	192	122	0.66	0.00020463							
	  13 	D1	20.23	0	71.74	1437	1144	0.66	0.00020388							
	  14 	D4	20.25	0	71.99	744	1788	1.92	0.00020372							
 * 	  15 	D1	20.34	70	73.41	6521	5355	0.66	0.00020277	823209	0.53					
	  16 	D4	20.36	0	73.69	2190	5239	1.91	0.00020258							
	  17 	D1	20.50	0	75.72	350	282	0.70	0.00020125							
	  18 	D4	20.51	0	75.84	1011	2399	1.89	0.00020117							
	  19 	D4	20.83	0	80.64	3318	5118	1.23	0.00019808							
 * 	  20 	D1	20.95	80	82.54	5634	4391	0.62	0.00019688	930941	0.57					
	  21 	D1	21.04	0	83.83	621	468	0.62	0.00019607							
	  22 	D1	21.18	0	85.99	315	182	0.49	0.00019473							
	  23 	D4	21.27	0	87.24	1156	1509	1.31	0.00019397							
 * 	  24 	D1	21.54	90	91.28	5445	3917	0.58	0.00019153	1077327	0.62					
	  25 	D1	21.73	0	94.12	319	204	0.54	0.00018986							
	  26 	D1	21.86	0	96.05	246	167	0.59	0.00018873							
 * 	  27 	D1	22.16	100	100.63	6295	4413	0.57	0.00018611	1123595	0.63					
	  28 	D4	22.59	0	106.97	1331	2134	1.50	0.00018260							
	  29 	D4	22.82	0	110.32	1762	3025	1.54	0.00018080							
	  30 	D1	22.90	0	111.49	326	193	0.47	0.00018017							
	  31 	D1	23.10	0	114.58	209	111	0.41	0.00017855							
	  32 	D1	23.19	0	115.87	285	198	0.56	0.00017787							
	  33 	D4	23.33	0	117.98	516	675	1.27	0.00017679							
 * 	  34 	D1	23.39	120	118.76	6097	4298	0.56	0.00017639	1151926	0.64					
	  35 	D1	24.57	0	136.24	1148	799	0.55	0.00016788							
 * 	  36 	D1	24.63	140	137.09	6407	4470	0.55	0.00016748	1198371	0.66					
	  37 	D1	24.74	0	138.65	412	283	0.55	0.00016676							
	  38 	D1	24.81	0	139.72	421	249	0.46	0.00016627							
	  39 	D1	24.95	0	141.83	220	89	0.37	0.00016531							
	  40 	D1	25.41	0	148.52	355	184	0.48	0.00016234							
	  41 	D1	25.54	0	150.49	182	85	0.37	0.00016148							
	  42 	D4	25.66	0	152.20	2749	5411	1.59	0.00016074							
	  43 	D1	25.78	0	153.98	280	171	0.49	0.00015998							
 * 	  44 	D1	25.99	160	157.03	6647	4651	0.56	0.00015869	1128315	0.64					
	  45 	D1	26.73	0	167.75	254	132	0.48	0.00015431							
	  46 	D4	26.84	0	169.31	402	416	0.79	0.00015369							
	  47 	D4	27.12	0	173.30	714	552	0.59	0.00015212							
	  48 	D4	27.18	0	174.21	1212	925	0.59	0.00015177							
