[FRAGMENT LIST]
Std	Peak#	DyeName	MigTime	StdSize	EstSize	Height	Area	Width	Mobility	Efficiency	Resolution	Locus	AlleleID	NumRepeat	Comment	
	  49 	D4	27.24	0	175.12	1831	1369	0.59	0.00015142							
	  50 	D4	27.31	0	176.11	1533	1153	0.59	0.00015104							
 * 	  51 	D1	27.34	180	176.51	7148	4945	0.56	0.00015088	1145473	0.65					
	  52 	D4	27.38	0	177.16	1025	769	0.58	0.00015063							
	  53 	D1	27.62	0	180.61	275	158	0.51	0.00014932							
 * 	  54 	D1	28.03	190	186.45	6935	5099	0.59	0.00014716	1018760	0.61					
	  55 	D4	28.07	0	186.97	525	267	0.39	0.00014697							
 * 	  56 	D1	28.73	200	196.39	6643	4960	0.61	0.00014359	966066	0.60					
	  57 	D1	29.01	0	200.46	313	299	0.89	0.00014218							
	  58 	D4	29.12	0	201.94	323	296	0.80	0.00014167							
 * 	  59 	D1	30.18	220	216.91	7627	5410	0.57	0.00013669	1110682	0.64					
	  60 	D1	31.26	0	232.10	232	129	0.59	0.00013195							
	  61 	D1	31.53	0	235.86	1398	1014	0.62	0.00013082							
 * 	  62 	D1	31.62	240	237.14	6647	5068	0.62	0.00013044	935560	0.58					
	  63 	D4	32.83	0	253.76	420	301	0.69	0.00012566							
	  64 	D4	32.90	0	254.80	492	364	0.69	0.00012537							
	  65 	D4	32.97	0	255.74	403	295	0.69	0.00012511							
 * 	  66 	D1	33.11	260	257.68	7117	6120	0.73	0.00012457	673223	0.49					
	  67 	D1	33.83	0	267.38	226	172	0.66	0.00012195							
 * 	  68 	D1	34.66	280	278.71	7377	5065	0.56	0.00011901	1165779	0.64					
	  69 	D1	35.31	0	287.44	214	127	0.58	0.00011682							
	  70 	D1	35.53	0	290.40	183	97	0.52	0.00011609							
	  71 	D4	35.84	0	294.46	406	188	0.40	0.00011510							
	  72 	D4	36.08	0	297.75	942	1196	1.05	0.00011431							
	  73 	D4	36.23	0	299.68	366	442	1.05	0.00011386							
 * 	  74 	D1	36.23	300	299.68	8003	5228	0.53	0.00011386	1295674	0.66					
	  75 	D4	36.23	0	299.71	478	587	1.05	0.00011385							
	  76 	D4	36.42	0	302.17	855	1072	1.05	0.00011327							
	  77 	D4	36.98	0	309.58	4097	4332	0.85	0.00011155							
	  78 	D4	37.15	0	311.78	8549	9042	0.85	0.00011105							
	  79 	D4	37.26	0	313.29	29072	30777	0.84	0.00011070							
	  80 	D4	37.47	0	316.01	8362	8753	0.84	0.00011009							
	  81 	D4	37.58	0	317.47	6649	6933	0.84	0.00010976							
	  82 	D4	37.65	0	318.44	756	756	0.84	0.00010955							
	  83 	D1	37.68	0	318.80	346	261	0.62	0.00010947							
	  84 	D4	37.69	0	318.86	5557	5775	0.83	0.00010946							
	  85 	D4	37.78	0	320.11	12584	13077	0.83	0.00010918							
 * 	  86 	D1	37.81	320	320.49	7099	4592	0.52	0.00010909	1345143	0.66					
	  87 	D4	37.89	0	321.49	15326	15918	0.83	0.00010887							
	  88 	D4	38.00	0	323.00	6189	10039	1.30	0.00010854							
	  89 	D4	38.23	0	325.89	44659	72453	1.30	0.00010791							
	  90 	D1	38.36	0	327.65	259	132	0.39	0.00010753							
	  91 	D4	38.47	0	329.06	9717	15618	1.29	0.00010722							
	  92 	D4	39.00	0	335.95	9530	7304	0.61	0.00010576							
	  93 	D4	39.40	0	341.09	12259	10545	0.68	0.00010469							
 * 	  94 	D1	39.42	340	341.26	9052	5860	0.52	0.00010465	1308303	0.64					
	  95 	D1	39.67	0	344.47	329	146	0.47	0.00010399							
	  96 	D4	39.90	0	347.49	14687	19524	1.06	0.00010337							
	  97 	D4	40.73	0	357.94	11917	9654	0.65	0.00010129							
 * 	  98 	D1	41.05	360	362.06	8471	5199	0.49	0.00010048	1474048	0.67					
	  99 	D4	42.53	0	380.58	15302	13777	0.72	0.00009699							
 * 	  100 	D1	42.70	380	382.64	8375	4918	0.48	0.00009661	1577391	0.67					
	  101 	D4	42.77	0	383.57	16213	22111	1.09	0.00009644							
	  102 	D4	43.73	0	395.35	16921	20096	0.95	0.00009434							
 * 	  103 	D1	44.36	400	403.08	8691	5091	0.47	0.00009299	1633637	0.66					
	  104 	D4	44.41	0	403.76	28328	23465	0.66	0.00009288							
	  105 	D1	45.06	0	411.60	208	69	0.29	0.00009155							
 * 	  106 	D1	46.06	420	423.72	7779	4415	0.46	0.00008955	1690883	0.66					
 * 	  107 	D1	47.77	440	444.09	8062	4610	0.47	0.00008635	1653138	0.63					
	  108 	D4	47.91	0	445.71	7577	8733	0.92	0.00008610							
	  109 	D4	48.58	0	453.71	2791	2688	0.77	0.00008490							
	  110 	D4	49.14	0	460.25	612	471	0.61	0.00008394							
	  111 	D4	49.28	0	461.82	1421	1089	0.61	0.00008371							
	  112 	D4	49.38	0	463.06	1779	1361	0.61	0.00008353							
 * 	  113 	D1	49.46	460	463.95	8049	4659	0.47	0.00008340	1645924	0.60					
	  114 	D4	49.53	0	464.74	5313	4053	0.61	0.00008329							
	  115 	D4	49.63	0	465.92	6302	4799	0.61	0.00008312							
	  116 	D4	49.80	0	467.93	728	552	0.61	0.00008283							
	  117 	D4	50.48	0	475.88	2068	2326	0.90	0.00008171							
	  118 	D4	50.70	0	478.43	2807	3145	0.89	0.00008136							
	  119 	D4	50.84	0	480.05	9300	10384	0.89	0.00008113							
	  120 	D4	51.02	0	482.07	3662	4075	0.89	0.00008086							
 * 	  121 	D1	51.09	480	482.93	7783	4184	0.44	0.00008074	1895377	0.62					
	  122 	D4	51.16	0	483.69	1224	1358	0.89	0.00008063							
	  123 	D4	51.28	0	485.06	4320	4783	0.88	0.00008045							
	  124 	D4	51.50	0	487.70	974	1076	0.88	0.00008009							
	  125 	D4	51.68	0	489.69	1896	2084	0.88	0.00007982							
	  126 	D4	51.79	0	491.01	2357	2584	0.87	0.00007965							
	  127 	D4	51.95	0	492.90	895	979	0.87	0.00007940							
	  128 	D4	52.07	0	494.22	1052	680	0.51	0.00007922							
	  129 	D4	52.16	0	495.30	1801	1162	0.51	0.00007908							
	  130 	D4	52.27	0	496.49	3506	2253	0.51	0.00007892							
	  131 	D4	52.37	0	497.64	5237	3359	0.51	0.00007877							
	  132 	D4	52.46	0	498.69	1911	1223	0.51	0.00007863							
	  133 	D4	52.62	0	500.57	521	401	0.61	0.00007839							
	  134 	D4	52.74	0	501.96	1081	830	0.61	0.00007821							
 * 	  135 	D1	52.81	500	502.69	7573	3949	0.43	0.00007811	1985270	0.61					
	  136 	D4	52.88	0	503.52	1886	1446	0.61	0.00007801							
	  137 	D4	53.01	0	505.00	1635	1249	0.61	0.00007782							
	  138 	D4	53.13	0	506.40	1347	1028	0.61	0.00007764							
	  139 	D4	53.47	0	510.22	833	479	0.46	0.00007715							
	  140 	D1	53.58	0	511.56	183	67	0.41	0.00007698							
	  141 	D4	53.90	0	515.14	5157	7656	1.18	0.00007654							
	  142 	D4	54.16	0	518.16	4452	4807	0.86	0.00007616							
	  143 	D1	54.43	0	521.20	2464	1289	0.43	0.00007579							
 * 	  144 	D1	54.52	520	522.22	6868	3648	0.43	0.00007566	1959454	0.58					
	  145 	D4	54.72	0	524.51	5633	4678	0.66	0.00007539							
	  146 	D4	55.20	0	530.00	1452	934	0.59	0.00007473							
	  147 	D4	55.48	0	533.19	1092	705	0.62	0.00007435							
	  148 	D4	55.64	0	534.99	1552	1042	0.61	0.00007414							
	  149 	D1	55.71	0	535.73	231	95	0.42	0.00007405							
	  150 	D4	55.76	0	536.34	1152	745	0.61	0.00007398							
	  151 	D4	55.86	0	537.49	749	455	0.61	0.00007384							
	  152 	D4	55.99	0	539.01	504	284	0.61	0.00007367							
	  153 	D4	56.12	0	540.48	1372	900	0.61	0.00007350							
 * 	  154 	D1	56.22	540	541.57	7264	3757	0.42	0.00007337	2051104	0.56					
	  155 	D4	56.26	0	541.99	1256	814	0.61	0.00007332							
	  156 	D4	56.40	0	543.58	913	567	0.61	0.00007314							
	  157 	D4	56.99	0	550.26	1052	794	0.72	0.00007239							
	  158 	D4	57.10	0	551.55	330	199	0.72	0.00007224							
	  159 	D4	57.30	0	553.79	524	160	0.33	0.00007199							
	  160 	D4	57.38	0	554.76	803	263	0.33	0.00007189							
	  161 	D4	57.67	0	557.98	1345	1015	0.68	0.00007153							
 * 	  162 	D1	57.94	560	561.08	7516	4004	0.43	0.00007119	1929141	0.52					
	  163 	D4	58.19	0	563.89	445	121	0.28	0.00007089							
	  164 	D4	58.61	0	568.66	804	817	0.89	0.00007038							
	  165 	D4	58.78	0	570.65	1510	1670	0.88	0.00007017							
	  166 	D4	59.27	0	576.20	418	215	0.29	0.00006960							
 * 	  167 	D1	59.61	580	580.11	7020	4440	0.53	0.00006919	1296151	0.40					
	  168 	D4	59.73	0	581.37	707	551	0.52	0.00006907							
	  169 	D4	59.89	0	583.22	309	195	0.35	0.00006888							
	  170 	D4	59.98	0	584.29	514	265	0.35	0.00006877							
 * 	  171 	D1	61.29	600	599.27	16793	8856	0.42	0.00006730	1994862	0.47					
 * 	  172 	D1	62.98	620	618.70	15459	8391	0.44	0.00006550	1880444	0.42					
	  173 	D4	63.05	0	619.45	363	152	0.42	0.00006543							
	  174 	D4	63.32	0	622.61	694	583	0.80	0.00006515							
 * 	  175 	D1	64.65	640	638.10	13893	7120	0.41	0.00006381	2127341	0.42					
 * 	  176 	D1	66.09	660	655.20	6308	3431	0.44	0.00006241	1890652	0.37					
 * 	  177 	D1	67.88	680	676.83	7379	3797	0.41	0.00006077	2094589	0.36					
	  178 	D4	68.94	0	689.83	378	119	0.42	0.00005984							
	  179 	D4	69.44	0	696.04	734	356	0.59	0.00005941							
 * 	  180 	D1	69.44	700	696.04	7555	4079	0.45	0.00005941	1811041	0.31					
 * 	  181 	D1	71.03	720	716.23	7736	4518	0.48	0.00005807	1586920	0.27					
	  182 	D4	71.38	0	720.71	889	368	0.42	0.00005779							
 * 	  183 	D1	72.58	740	736.45	7511	3924	0.42	0.00005684	2027933	0.28					
	  184 	D4	72.70	0	738.07	380	203	0.50	0.00005674							
 * 	  185 	D1	74.04	760	756.12	8594	4950	0.46	0.00005571	1680015	0.24					
 * 	  186 	D1	75.54	780	776.98	7649	4327	0.46	0.00005461	1732536	0.23					
	  187 	D4	76.72	0	793.95	414	357	0.86	0.00005377							
 * 	  188 	D1	76.95	800	797.32	7639	4294	0.45	0.00005361	1786546	0.21					
	  189 	D4	77.01	0	798.33	753	408	0.49	0.00005356							
 * 	  190 	D1	78.32	820	817.90	10882	6376	0.47	0.00005267	1636853	0.19					
 * 	  191 	D1	79.68	840	839.00	11055	6301	0.45	0.00005177	1754842	0.19					
 * 	  192 	D1	80.99	860	860.07	15582	9179	0.47	0.00005094	1655563	0.18					
 * 	  193 	D1	82.24	880	881.18	9042	5175	0.45	0.00005016	1747846	0.17					
 * 	  194 	D1	83.45	900	902.20	9120	5391	0.47	0.00004943	1662842	0.17					
 * 	  195 	D1	84.59	920	922.72	11240	6326	0.44	0.00004877	1824079	0.18					
	  196 	D4	84.87	0	927.99	925	632	0.56	0.00004860							
 * 	  197 	D1	85.64	940	942.32	9954	5475	0.45	0.00004817	1817456	0.18					
	  198 	D1	86.57	0	960.40	361	83	0.20	0.00004765							
 * 	  199 	D1	86.78	960	964.55	19954	14339	0.56	0.00004753	1146818	0.15					
	  200 	D4	86.92	0	967.21	872	603	0.57	0.00004746							
	  201 	D4	87.07	0	970.23	980	677	0.57	0.00004738							
	  202 	D4	87.31	0	975.10	1193	822	0.57	0.00004725							
	  203 	D4	87.50	0	978.85	666	446	0.57	0.00004714							
	  204 	D4	87.62	0	981.28	613	406	0.57	0.00004708							
 * 	  205 	D1	87.83	980	985.56	10262	6437	0.50	0.00004697	1465398	0.18					
 * 	  206 	D1	88.82	1000	1006.33	11122	7035	0.50	0.00004644	1444338	0.19					
	  207 	D4	88.93	0	1008.71	525	304	0.50	0.00004638							
 * 	  208 	D1	91.07	1050	1055.80	10329	6392	0.49	0.00004530	1485089	0.25					
 * 	  209 	D1	93.07	1100	1103.41	10333	7416	0.55	0.00004432	1183682	0.29					
 * 	  210 	D1	94.80	1150	1147.33	9783	7421	0.58	0.00004351	1070613	0.35					
 * 	  211 	D1	96.30	1200	1187.47	10047	8236	0.63	0.00004284	908853	0.42					
