[FRAGMENT LIST]
Std	Peak#	DyeName	MigTime	StdSize	EstSize	Height	Area	Width	Mobility	Efficiency	Resolution	Locus	AlleleID	NumRepeat	Comment	
 * 	  80 	D1	49.01	460	463.69	6641	3792	0.45	0.00008417	1752657	0.62					
	  81 	D4	49.09	0	464.63	4806	2991	0.53	0.00008403							
	  82 	D4	49.19	0	465.77	4697	2882	0.53	0.00008387							
	  83 	D4	50.02	0	475.56	961	603	0.73	0.00008247							
	  84 	D4	50.20	0	477.65	1142	729	0.72	0.00008217							
	  85 	D4	50.30	0	478.81	3168	2402	0.72	0.00008201							
	  86 	D4	50.40	0	479.94	6359	5173	0.72	0.00008185							
	  87 	D4	50.51	0	481.32	2320	1658	0.72	0.00008166							
	  88 	D4	50.61	0	482.49	1491	972	0.72	0.00008150							
 * 	  89 	D1	50.63	480	482.71	6970	3538	0.42	0.00008147	2062392	0.65					
	  90 	D4	50.75	0	484.11	2334	1642	0.72	0.00008128							
	  91 	D4	50.85	0	485.25	2208	1524	0.71	0.00008112							
	  92 	D4	51.03	0	487.38	378	157	0.71	0.00008083							
	  93 	D4	51.17	0	488.91	792	268	0.46	0.00008062							
	  94 	D4	51.26	0	489.99	1135	420	0.45	0.00008047							
	  95 	D4	51.34	0	490.90	901	313	0.45	0.00008035							
	  96 	D4	51.43	0	492.01	434	116	0.45	0.00008020							
	  97 	D4	51.72	0	495.36	739	233	0.45	0.00007975							
	  98 	D4	51.81	0	496.38	2634	1131	0.45	0.00007962							
	  99 	D4	51.91	0	497.50	3281	1457	0.45	0.00007947							
	  100 	D4	52.00	0	498.54	517	141	0.45	0.00007933							
 * 	  101 	D1	52.34	500	502.50	6489	3337	0.42	0.00007881	2000624	0.61					
	  102 	D4	53.38	0	514.47	2442	1384	0.61	0.00007728							
	  103 	D4	53.49	0	515.75	2168	1198	0.61	0.00007712							
	  104 	D4	53.60	0	517.08	1277	618	0.61	0.00007695							
	  105 	D4	53.71	0	518.26	1887	1004	0.61	0.00007680							
	  106 	D1	53.96	0	521.14	2452	1173	0.40	0.00007645							
 * 	  107 	D1	54.04	520	522.10	5831	2840	0.40	0.00007633	2292421	0.63					
	  108 	D4	54.25	0	524.44	4141	3116	0.60	0.00007604							
 * 	  109 	D1	55.73	540	541.47	6239	3119	0.41	0.00007401	2131548	0.57					
	  110 	D4	57.11	0	557.19	298	50	0.37	0.00007223							
	  111 	D1	57.36	0	560.06	586	277	0.40	0.00007191							
 * 	  112 	D1	57.45	560	561.09	6510	3262	0.40	0.00007180	2220791	0.56					
 * 	  113 	D1	59.12	580	580.13	6189	3859	0.53	0.00006978	1291313	0.40					
 * 	  114 	D1	60.79	600	599.37	14882	7608	0.41	0.00006785	2104030	0.48					
 * 	  115 	D1	62.48	620	618.87	13996	7420	0.43	0.00006602	1906424	0.43					
 * 	  116 	D1	64.14	640	638.35	12861	6413	0.40	0.00006431	2204506	0.43					
 * 	  117 	D1	65.59	660	655.52	5610	2894	0.42	0.00006289	2051655	0.39					
 * 	  118 	D1	67.39	680	677.23	6283	3285	0.41	0.00006121	2108757	0.37					
 * 	  119 	D1	68.95	700	696.46	6695	3584	0.45	0.00005982	1796495	0.32					
 * 	  120 	D1	70.55	720	716.62	6391	3615	0.47	0.00005847	1643894	0.28					
 * 	  121 	D1	72.10	740	736.78	6274	3267	0.42	0.00005721	2048935	0.29					
 * 	  122 	D1	73.57	760	756.41	7462	4130	0.45	0.00005607	1752294	0.25					
 * 	  123 	D1	75.08	780	777.29	6284	3258	0.42	0.00005494	2018630	0.25					
 * 	  124 	D1	76.50	800	797.51	6411	3550	0.44	0.00005392	1861632	0.22					
 * 	  125 	D1	77.89	820	817.98	9482	5471	0.46	0.00005296	1685192	0.20					
 * 	  126 	D1	79.27	840	838.97	9622	5487	0.45	0.00005204	1755157	0.19					
 * 	  127 	D1	80.59	860	859.95	13737	8003	0.46	0.00005118	1681932	0.18					
 * 	  128 	D1	81.87	880	880.96	7974	4526	0.45	0.00005038	1764745	0.18					
 * 	  129 	D1	83.10	900	901.94	8149	4806	0.46	0.00004964	1666274	0.17					
 * 	  130 	D1	84.26	920	922.44	10099	5697	0.45	0.00004895	1793712	0.18					
 * 	  131 	D1	85.31	940	941.58	8075	3623	0.36	0.00004835	2795634	0.23					
	  132 	D1	85.40	0	943.21	2722	1216	0.36	0.00004830							
 * 	  133 	D1	86.50	960	964.05	17703	13556	0.59	0.00004769	1032347	0.15					
 * 	  134 	D1	87.57	980	985.07	8980	5616	0.49	0.00004710	1487825	0.19					
 * 	  135 	D1	88.60	1000	1005.87	10017	6276	0.50	0.00004656	1446387	0.20					
 * 	  136 	D1	90.88	1050	1054.62	7570	3298	0.35	0.00004539	2972975	0.36					
	  137 	D1	90.97	0	1056.80	5065	2204	0.35	0.00004534							
	  138 	D1	91.07	0	1058.93	398	97	0.19	0.00004530							
	  139 	D1	92.93	0	1101.91	6654	2584	0.31	0.00004439							
 * 	  140 	D1	93.02	1100	1104.01	6682	2588	0.31	0.00004435	3751551	0.52					
	  141 	D1	93.10	0	1106.01	3057	1181	0.31	0.00004431							
	  142 	D1	94.73	0	1146.11	6300	2631	0.33	0.00004355							
 * 	  143 	D1	94.83	1150	1148.61	6453	2689	0.33	0.00004350	3261306	0.63					
	  144 	D1	94.92	0	1150.90	2302	957	0.33	0.00004346							
 * 	  145 	D1	96.33	1200	1187.89	8511	4355	0.41	0.00004282	2161759	0.66					
