[FRAGMENT LIST]
Std	Peak#	DyeName	MigTime	StdSize	EstSize	Height	Area	Width	Mobility	Efficiency	Resolution	Locus	AlleleID	NumRepeat	Comment	
	  1 	D4	19.29	0	59.87	4886	8646	1.41	0.00021385							
 * 	  2 	D1	19.59	60	64.48	4318	3451	0.66	0.00021057	835001	0.53					
	  3 	D4	20.03	0	71.29	674	1055	1.49	0.00020590							
	  4 	D1	20.05	0	71.50	923	751	0.68	0.00020576							
	  5 	D4	20.15	0	73.11	869	1395	1.48	0.00020469							
 * 	  6 	D1	20.16	70	73.19	4613	3865	0.67	0.00020464	794037	0.52					
	  7 	D4	20.20	0	73.76	372	529	1.48	0.00020426							
	  8 	D4	20.29	0	75.22	420	605	1.47	0.00020330							
 * 	  9 	D1	20.76	80	82.41	4194	3118	0.60	0.00019869	994696	0.59					
 * 	  10 	D1	21.34	90	91.24	4018	2868	0.59	0.00019329	1048300	0.61					
 * 	  11 	D1	21.96	100	100.66	4539	3236	0.59	0.00018782	1043968	0.61					
 * 	  12 	D1	23.17	120	118.87	4624	3218	0.57	0.00017803	1111009	0.63					
 * 	  13 	D1	24.40	140	137.21	4862	3769	0.64	0.00016908	890235	0.57					
 * 	  14 	D1	25.75	160	157.27	4822	3440	0.57	0.00016018	1091062	0.63					
	  15 	D4	26.98	0	175.31	2363	1699	0.61	0.00015286							
	  16 	D4	27.06	0	176.37	1860	1318	0.61	0.00015245							
 * 	  17 	D1	27.08	180	176.74	5280	3721	0.58	0.00015231	1082389	0.63					
	  18 	D4	27.13	0	177.41	1171	814	0.61	0.00015205							
	  19 	D4	27.21	0	178.55	479	301	0.61	0.00015161							
 * 	  20 	D1	27.77	190	186.66	5151	3837	0.60	0.00014856	987610	0.60					
	  21 	D1	28.39	0	195.66	795	527	0.57	0.00014530							
 * 	  22 	D1	28.46	200	196.68	4998	3520	0.57	0.00014493	1117305	0.64					
 * 	  23 	D1	29.89	220	217.09	5784	4091	0.56	0.00013801	1138098	0.64					
	  24 	D1	31.24	0	236.11	1240	862	0.58	0.00013205							
 * 	  25 	D1	31.32	240	237.27	5314	3800	0.58	0.00013169	1079255	0.62					
 * 	  26 	D1	32.80	260	257.78	5448	4455	0.69	0.00012577	761035	0.52					
 * 	  27 	D1	34.33	280	278.71	6070	4077	0.53	0.00012016	1277837	0.67					
	  28 	D4	35.71	0	297.35	890	694	0.65	0.00011551							
	  29 	D4	35.81	0	298.64	921	712	0.65	0.00011519							
 * 	  30 	D1	35.88	300	299.64	6314	4221	0.53	0.00011495	1261094	0.65					
	  31 	D4	35.90	0	299.79	786	605	0.65	0.00011492							
	  32 	D4	36.00	0	301.19	669	505	0.65	0.00011458							
	  33 	D4	36.66	0	309.98	3572	3134	0.71	0.00011251							
	  34 	D4	36.82	0	312.05	12037	10616	0.71	0.00011204							
	  35 	D4	36.92	0	313.35	23214	20459	0.71	0.00011174							
	  36 	D4	37.06	0	315.22	2863	2465	0.70	0.00011131							
	  37 	D4	37.13	0	316.17	6489	5657	0.70	0.00011110							
	  38 	D4	37.23	0	317.46	6260	5448	0.70	0.00011080							
	  39 	D4	37.32	0	318.73	4237	3647	0.70	0.00011052							
	  40 	D4	37.33	0	318.84	2985	2554	0.70	0.00011049							
	  41 	D4	37.43	0	320.06	11016	9548	0.70	0.00011022							
 * 	  42 	D1	37.45	320	320.40	5727	3666	0.51	0.00011014	1387930	0.67					
	  43 	D4	37.52	0	321.33	13045	11294	0.69	0.00010993							
	  44 	D4	37.66	0	323.08	5630	4826	0.69	0.00010954							
	  45 	D4	37.77	0	324.56	18725	16145	0.69	0.00010922							
	  46 	D4	37.87	0	325.82	37565	32324	0.69	0.00010894							
	  47 	D4	37.97	0	327.13	15943	13645	0.69	0.00010865							
	  48 	D4	38.08	0	328.66	7978	6777	0.68	0.00010832							
	  49 	D4	38.18	0	329.97	8331	7060	0.68	0.00010803							
	  50 	D4	38.29	0	331.38	4938	4151	0.68	0.00010773							
	  51 	D4	38.38	0	332.57	3514	3270	0.76	0.00010747							
	  52 	D4	38.52	0	334.33	4818	4492	0.75	0.00010709							
	  53 	D4	38.63	0	335.75	6905	6459	0.75	0.00010679							
	  54 	D4	38.75	0	337.31	3049	2804	0.75	0.00010646							
	  55 	D4	38.83	0	338.38	4545	4199	0.75	0.00010623							
	  56 	D4	38.93	0	339.59	7225	6690	0.75	0.00010597							
	  57 	D4	39.04	0	341.07	8638	7995	0.74	0.00010566							
 * 	  58 	D1	39.04	340	341.13	7324	4524	0.50	0.00010565	1456122	0.68					
	  59 	D4	39.17	0	342.71	8942	8242	0.74	0.00010532							
	  60 	D4	39.28	0	344.19	9886	9098	0.74	0.00010501							
	  61 	D4	39.39	0	345.57	9042	8305	0.74	0.00010473							
	  62 	D4	39.50	0	346.95	7904	7238	0.74	0.00010444							
	  63 	D4	39.57	0	347.93	6913	6302	0.73	0.00010424							
	  64 	D4	39.67	0	349.23	5716	5183	0.73	0.00010397							
	  65 	D4	40.35	0	357.82	8875	6353	0.57	0.00010224							
 * 	  66 	D1	40.67	360	361.90	6643	4049	0.48	0.00010143	1531876	0.68					
	  67 	D4	41.29	0	369.78	9747	8509	0.70	0.00009990							
	  68 	D4	42.14	0	380.41	11490	10598	0.74	0.00009790							
 * 	  69 	D1	42.30	380	382.44	6494	3755	0.46	0.00009752	1670287	0.69					
	  70 	D4	42.38	0	383.40	13066	13074	0.80	0.00009734							
	  71 	D4	43.33	0	395.22	12293	14727	0.96	0.00009521							
	  72 	D4	43.73	0	400.18	20722	31734	1.22	0.00009433							
 * 	  73 	D1	43.95	400	402.86	7108	4040	0.45	0.00009386	1756611	0.69					
	  74 	D4	44.01	0	403.59	22425	16773	0.60	0.00009374							
 * 	  75 	D1	45.64	420	423.49	6392	3621	0.45	0.00009038	1778387	0.67					
	  76 	D4	46.45	0	433.23	5712	4532	0.63	0.00008881							
	  77 	D4	46.76	0	436.94	5146	7094	1.10	0.00008822							
 * 	  78 	D1	47.33	440	443.85	6658	3711	0.46	0.00008715	1732407	0.64					
	  79 	D4	47.48	0	445.56	6312	5443	0.69	0.00008688							
