[FRAGMENT LIST]
Std	Peak#	DyeName	MigTime	StdSize	EstSize	Height	Area	Width	Mobility	Efficiency	Resolution	Locus	AlleleID	NumRepeat	Comment	
	  1 	D1	19.63	0	60.20	417	267	0.74	0.00021015							
	  2 	D1	19.76	0	62.18	1015	759	0.73	0.00020872							
 * 	  3 	D1	19.95	60	64.94	14640	13088	0.73	0.00020677	672047	0.48					
	  4 	D4	19.99	0	65.56	343	194	0.69	0.00020633							
	  5 	D1	20.23	0	69.01	413	435	1.25	0.00020395							
	  6 	D1	20.34	0	70.73	460	357	0.89	0.00020278							
	  7 	D1	20.42	0	71.80	3362	2868	0.74	0.00020205							
 * 	  8 	D1	20.53	70	73.46	14963	13589	0.74	0.00020095	659707	0.48					
	  9 	D4	20.57	0	74.05	351	256	0.81	0.00020055							
	  10 	D1	20.68	0	75.73	651	444	0.73	0.00019944							
 * 	  11 	D1	21.15	80	82.60	12777	11728	0.75	0.00019504	632277	0.47					
	  12 	D4	21.19	0	83.20	282	217	0.76	0.00019466							
	  13 	D1	21.28	0	84.48	911	683	0.75	0.00019386							
 * 	  14 	D1	21.74	90	91.31	12555	10818	0.69	0.00018971	766700	0.52					
	  15 	D4	21.78	0	91.87	256	158	0.54	0.00018938							
	  16 	D1	21.84	0	92.72	524	449	0.68	0.00018887							
	  17 	D1	21.94	0	94.12	670	647	0.77	0.00018805							
	  18 	D1	22.06	0	95.91	481	460	0.76	0.00018701							
 * 	  19 	D1	22.38	100	100.63	13689	12233	0.71	0.00018430	714882	0.51					
	  20 	D4	22.43	0	101.35	236	158	0.58	0.00018390							
	  21 	D1	23.12	0	111.43	648	478	0.58	0.00017840							
	  22 	D1	23.43	0	115.92	437	285	0.51	0.00017604							
 * 	  23 	D1	23.62	120	118.68	13246	11882	0.71	0.00017463	707876	0.51					
	  24 	D4	23.66	0	119.23	195	95	0.41	0.00017435							
	  25 	D1	24.77	0	135.32	1237	1160	0.76	0.00016650							
 * 	  26 	D1	24.88	140	136.85	14194	13493	0.76	0.00016579	628132	0.48					
	  27 	D4	24.92	0	137.40	176	94	0.43	0.00016554							
	  28 	D1	25.02	0	138.79	595	546	0.75	0.00016490							
	  29 	D1	25.06	0	139.47	611	482	0.63	0.00016459							
	  30 	D1	25.69	0	148.41	579	386	0.52	0.00016059							
 * 	  31 	D1	26.28	160	156.92	13374	12163	0.72	0.00015695	693121	0.51					
	  32 	D1	27.04	0	167.70	426	276	0.51	0.00015254							
	  33 	D4	27.57	0	175.21	784	654	0.93	0.00014960							
 * 	  34 	D1	27.66	180	176.43	14515	13037	0.70	0.00014913	727919	0.52					
	  35 	D1	27.95	0	180.48	438	288	0.51	0.00014759							
 * 	  36 	D1	28.37	190	186.39	14308	13600	0.75	0.00014540	645564	0.49					
 * 	  37 	D1	29.08	200	196.35	14008	13625	0.77	0.00014183	610851	0.48					
	  38 	D4	29.12	0	196.83	370	274	0.84	0.00014167							
	  39 	D1	29.39	0	200.64	428	487	0.85	0.00014034							
 * 	  40 	D1	30.57	220	216.89	15845	14029	0.69	0.00013494	747415	0.53					
	  41 	D1	31.68	0	232.09	649	734	0.94	0.00013020							
	  42 	D1	31.86	0	234.48	908	802	0.72	0.00012949							
	  43 	D1	31.96	0	235.89	3221	2881	0.72	0.00012906							
 * 	  44 	D1	32.05	240	237.11	15322	13714	0.72	0.00012870	703722	0.51					
	  45 	D1	32.41	0	241.95	480	535	0.92	0.00012728							
	  46 	D1	32.70	0	245.83	439	376	0.71	0.00012616							
	  47 	D1	32.78	0	246.99	535	459	0.71	0.00012583							
	  48 	D1	33.07	0	250.79	392	534	1.10	0.00012475							
	  49 	D1	33.50	0	256.63	3314	3018	0.73	0.00012312							
 * 	  50 	D1	33.59	260	257.84	15889	14483	0.73	0.00012279	678720	0.50					
	  51 	D4	33.63	0	258.38	373	314	0.72	0.00012265							
	  52 	D1	34.08	0	264.37	382	432	0.97	0.00012103							
	  53 	D1	34.31	0	267.42	584	599	0.79	0.00012021							
 * 	  54 	D1	35.17	280	278.75	15821	13695	0.67	0.00011728	802010	0.53					
	  55 	D4	36.52	0	296.29	194	223	0.94	0.00011296							
	  56 	D4	36.63	0	297.73	472	543	0.93	0.00011261							
	  57 	D4	36.71	0	298.71	539	365	0.55	0.00011238							
	  58 	D4	36.78	0	299.64	610	412	0.55	0.00011216							
 * 	  59 	D1	36.79	300	299.78	16144	13366	0.65	0.00011213	852662	0.54					
	  60 	D4	36.86	0	300.70	864	584	0.55	0.00011191							
	  61 	D4	36.93	0	301.60	679	457	0.55	0.00011170							
	  62 	D4	37.00	0	302.49	578	383	0.55	0.00011149							
	  63 	D4	37.80	0	312.73	13188	14186	0.86	0.00010914							
	  64 	D1	38.27	0	318.79	914	740	0.63	0.00010778							
	  65 	D4	38.42	0	320.60	11011	11872	0.86	0.00010738							
 * 	  66 	D1	38.42	320	320.63	15230	11971	0.63	0.00010737	919752	0.55					
	  67 	D4	38.85	0	326.08	18683	24380	1.04	0.00010618							
	  68 	D4	39.57	0	335.16	3740	4180	0.89	0.00010425							
	  69 	D4	39.91	0	339.46	4427	5098	0.92	0.00010335							
 * 	  70 	D1	40.07	340	341.38	18175	14177	0.61	0.00010295	976887	0.56					
	  71 	D4	40.21	0	343.13	7704	7655	0.79	0.00010259							
	  72 	D1	40.32	0	344.45	571	441	0.59	0.00010232							
	  73 	D4	40.51	0	346.91	4732	7910	1.33	0.00010182							
	  74 	D1	40.59	0	347.90	391	216	0.41	0.00010162							
	  75 	D4	40.99	0	352.84	684	1244	1.45	0.00010063							
	  76 	D4	41.10	0	354.17	2505	4542	1.45	0.00010036							
	  77 	D4	41.32	0	356.92	1414	2549	1.44	0.00009982							
	  78 	D4	41.45	0	358.48	2222	3994	1.43	0.00009952							
	  79 	D4	41.66	0	361.00	2705	4842	1.43	0.00009903							
 * 	  80 	D1	41.75	360	362.20	17554	12969	0.58	0.00009879	1068011	0.57					
	  81 	D4	41.83	0	363.14	1750	3119	1.42	0.00009861							
	  82 	D4	42.02	0	365.45	4915	8720	1.41	0.00009817							
	  83 	D4	42.09	0	366.33	7796	13077	1.34	0.00009800							
	  84 	D4	42.15	0	367.03	4416	7807	1.41	0.00009787							
	  85 	D4	42.35	0	369.48	3196	3801	0.95	0.00009740							
	  86 	D4	42.45	0	370.64	1213	1442	0.95	0.00009718							
	  87 	D4	42.55	0	371.90	566	670	0.94	0.00009695							
	  88 	D4	42.65	0	373.08	937	1108	0.94	0.00009672							
	  89 	D4	42.79	0	374.85	679	799	0.94	0.00009640							
	  90 	D4	42.88	0	375.95	1031	1211	0.94	0.00009619							
	  91 	D4	42.96	0	376.92	1141	1339	0.94	0.00009601							
	  92 	D4	43.06	0	378.05	1794	2100	0.93	0.00009580							
	  93 	D4	43.20	0	379.73	4904	5727	0.93	0.00009549							
	  94 	D1	43.31	0	381.13	711	454	0.57	0.00009524							
	  95 	D4	43.32	0	381.25	2405	2798	0.93	0.00009522							
 * 	  96 	D1	43.45	380	382.79	17907	12601	0.57	0.00009494	1121475	0.57					
	  97 	D4	43.52	0	383.68	10570	12232	0.92	0.00009477							
	  98 	D4	43.69	0	385.67	2165	2497	0.92	0.00009441							
	  99 	D4	43.85	0	387.57	1655	1764	0.85	0.00009407							
	  100 	D4	43.98	0	389.10	1215	1291	0.85	0.00009380							
	  101 	D4	44.14	0	391.08	2133	2257	0.84	0.00009345							
	  102 	D4	44.26	0	392.51	2317	2447	0.84	0.00009320							
	  103 	D4	44.38	0	393.98	4600	4841	0.84	0.00009294							
	  104 	D4	44.52	0	395.62	4754	4992	0.84	0.00009265							
	  105 	D4	44.69	0	397.63	5613	5866	0.83	0.00009230							
	  106 	D4	44.81	0	399.04	1959	2042	0.83	0.00009206							
	  107 	D4	44.82	0	399.16	4137	4320	0.83	0.00009203							
	  108 	D4	44.93	0	400.45	7085	7381	0.83	0.00009181							
	  109 	D4	45.08	0	402.25	8325	8631	0.83	0.00009150							
 * 	  110 	D1	45.16	400	403.20	18307	12624	0.54	0.00009134	1225747	0.58					
	  111 	D4	45.20	0	403.67	7226	7468	0.82	0.00009126							
	  112 	D4	45.34	0	405.37	3132	3230	0.82	0.00009097							
	  113 	D4	45.48	0	407.01	3450	3543	0.82	0.00009069							
	  114 	D4	45.63	0	408.68	5309	5435	0.82	0.00009041							
	  115 	D4	45.78	0	410.46	5266	5375	0.81	0.00009011							
	  116 	D4	45.91	0	412.02	3929	3999	0.81	0.00008985							
	  117 	D4	46.32	0	416.79	4699	9007	1.53	0.00008906							
 * 	  118 	D1	46.92	420	423.85	16800	11365	0.54	0.00008791	1253563	0.57					
	  119 	D4	46.94	0	424.11	3316	4037	0.97	0.00008787							
