[FRAGMENT LIST]
Std	Peak#	DyeName	MigTime	StdSize	EstSize	Height	Area	Width	Mobility	Efficiency	Resolution	Locus	AlleleID	NumRepeat	Comment	
	  120 	D4	47.34	0	428.75	2245	2264	0.80	0.00008713							
	  121 	D4	47.72	0	433.08	2524	2148	0.68	0.00008645							
	  122 	D4	48.19	0	438.52	2541	2161	0.68	0.00008560							
 * 	  123 	D1	48.68	440	444.20	16691	11340	0.54	0.00008473	1225382	0.55					
	  124 	D4	48.75	0	445.01	1953	1351	0.70	0.00008461							
	  125 	D4	49.41	0	452.48	306	288	0.66	0.00008349							
	  126 	D4	49.49	0	453.36	262	250	0.66	0.00008336							
	  127 	D4	50.26	0	462.19	536	410	0.62	0.00008207							
	  128 	D4	50.39	0	463.57	2072	1579	0.61	0.00008187							
 * 	  129 	D1	50.43	460	464.02	17301	11237	0.52	0.00008180	1326780	0.55					
	  130 	D4	50.49	0	464.72	1394	1051	0.61	0.00008170							
	  131 	D4	51.51	0	476.25	666	387	0.50	0.00008008							
	  132 	D1	51.57	0	476.93	443	249	0.55	0.00007999							
	  133 	D4	51.75	0	478.96	4063	3788	0.76	0.00007971							
	  134 	D1	51.77	0	479.15	478	291	0.60	0.00007968							
 * 	  135 	D1	52.10	480	482.89	17334	10511	0.49	0.00007917	1521805	0.56					
	  136 	D4	52.20	0	484.01	1417	1158	0.82	0.00007902							
	  137 	D4	53.35	0	496.83	1682	1305	0.65	0.00007732							
 * 	  138 	D1	53.87	500	502.62	17277	10301	0.48	0.00007657	1558309	0.54					
	  139 	D4	53.92	0	503.15	538	308	0.44	0.00007650							
	  140 	D1	54.68	0	511.60	373	159	0.45	0.00007543							
	  141 	D4	54.71	0	511.92	525	490	0.76	0.00007539							
	  142 	D4	54.83	0	513.16	665	348	0.42	0.00007524							
	  143 	D4	54.90	0	513.95	925	488	0.42	0.00007514							
	  144 	D4	54.98	0	514.92	1341	707	0.42	0.00007502							
	  145 	D4	55.07	0	515.84	1104	582	0.42	0.00007491							
	  146 	D4	55.14	0	516.67	1001	527	0.42	0.00007481							
	  147 	D4	55.22	0	517.49	957	505	0.42	0.00007470							
	  148 	D4	55.30	0	518.35	578	306	0.42	0.00007460							
 * 	  149 	D1	55.61	520	521.83	16579	12804	0.65	0.00007418	852855	0.38					
	  150 	D4	55.70	0	522.83	887	683	0.60	0.00007406							
	  151 	D4	55.83	0	524.24	1025	790	0.60	0.00007389							
	  152 	D4	55.84	0	524.32	1111	769	0.54	0.00007388							
	  153 	D4	56.01	0	526.19	802	377	0.36	0.00007365							
	  154 	D4	56.08	0	527.01	802	379	0.36	0.00007356							
	  155 	D4	56.16	0	527.86	662	315	0.36	0.00007345							
	  156 	D4	56.24	0	528.76	543	264	0.36	0.00007335							
	  157 	D1	56.57	0	532.45	391	164	0.33	0.00007291							
	  158 	D1	56.86	0	535.63	438	244	0.46	0.00007254							
 * 	  159 	D1	57.39	540	541.46	17352	9841	0.46	0.00007187	1708570	0.52					
	  160 	D4	57.44	0	541.99	287	86	0.22	0.00007181							
	  161 	D1	57.95	0	547.55	425	292	0.61	0.00007118							
	  162 	D4	58.51	0	553.73	248	61	0.27	0.00007050							
 * 	  163 	D1	59.16	560	560.91	18047	10158	0.46	0.00006972	1734117	0.49					
 * 	  164 	D1	60.88	580	579.84	17699	11714	0.55	0.00006776	1170794	0.38					
	  165 	D4	60.95	0	580.59	436	110	0.21	0.00006768							
 * 	  166 	D1	62.60	600	598.91	39853	21699	0.44	0.00006590	1839122	0.45					
	  167 	D4	62.64	0	599.40	664	219	0.28	0.00006585							
 * 	  168 	D1	64.33	620	618.37	37085	20819	0.46	0.00006412	1722955	0.41					
	  169 	D4	64.39	0	619.02	725	299	0.33	0.00006406							
 * 	  170 	D1	66.04	640	637.83	33692	17633	0.42	0.00006246	2004456	0.41					
	  171 	D4	66.09	0	638.40	762	309	0.33	0.00006241							
 * 	  172 	D1	67.52	660	654.88	15299	8614	0.46	0.00006109	1714602	0.35					
	  173 	D4	67.57	0	655.53	242	97	0.34	0.00006104							
	  174 	D1	67.90	0	659.29	373	147	0.41	0.00006076							
 * 	  175 	D1	69.37	680	676.79	17161	8830	0.42	0.00005946	2040386	0.36					
	  176 	D4	69.43	0	677.46	330	98	0.24	0.00005941							
	  177 	D1	70.71	0	693.01	1056	606	0.49	0.00005834							
 * 	  178 	D1	70.96	700	696.04	16227	9921	0.49	0.00005813	1480995	0.28					
	  179 	D4	71.02	0	696.74	563	217	0.36	0.00005809							
	  180 	D1	71.68	0	704.93	407	346	0.93	0.00005755							
 * 	  181 	D1	72.59	720	716.37	17227	10062	0.48	0.00005683	1554650	0.27					
	  182 	D4	72.65	0	717.12	199	51	0.25	0.00005678							
 * 	  183 	D1	74.16	740	736.68	17445	9337	0.43	0.00005562	1911700	0.27					
	  184 	D4	74.24	0	737.64	349	138	0.30	0.00005557							
 * 	  185 	D1	75.65	760	756.43	18821	11366	0.49	0.00005453	1516320	0.22					
	  186 	D4	75.71	0	757.31	443	100	0.19	0.00005448							
 * 	  187 	D1	77.17	780	777.47	17543	9496	0.44	0.00005345	1892823	0.23					
	  188 	D4	77.24	0	778.43	391	145	0.29	0.00005341							
 * 	  189 	D1	78.58	800	797.65	16915	10271	0.49	0.00005250	1519746	0.19					
	  190 	D4	78.65	0	798.69	388	165	0.35	0.00005245							
 * 	  191 	D1	79.96	820	818.16	21512	14397	0.53	0.00005159	1264890	0.16					
	  192 	D4	80.01	0	819.02	304	62	0.14	0.00005155							
	  193 	D4	80.06	0	819.70	275	56	0.14	0.00005152							
 * 	  194 	D1	81.32	840	839.27	21272	14049	0.52	0.00005072	1331503	0.16					
	  195 	D4	81.41	0	840.63	272	116	0.31	0.00005067							
 * 	  196 	D1	82.63	860	860.26	25296	18249	0.58	0.00004992	1075379	0.14					
	  197 	D4	82.71	0	861.59	452	206	0.37	0.00004987							
 * 	  198 	D1	83.90	880	881.52	18626	12580	0.53	0.00004916	1274396	0.14					
	  199 	D4	83.97	0	882.61	246	80	0.25	0.00004913							
 * 	  200 	D1	85.11	900	902.45	17635	13081	0.58	0.00004847	1066746	0.13					
	  201 	D4	85.20	0	904.02	300	154	0.37	0.00004842							
 * 	  202 	D1	86.21	920	922.28	22487	9761	0.35	0.00004785	2956496	0.22					
	  203 	D4	86.30	0	924.02	192	71	0.29	0.00004780							
	  204 	D1	86.33	0	924.53	9818	4243	0.35	0.00004778							
 * 	  205 	D1	87.28	940	942.21	23481	12052	0.44	0.00004726	1871480	0.18					
	  206 	D4	87.31	0	942.78	203	35	0.14	0.00004725							
 * 	  207 	D1	88.40	960	963.90	23315	14182	0.48	0.00004666	1531151	0.17					
	  208 	D1	88.52	0	966.28	6123	3712	0.48	0.00004660							
	  209 	D4	88.53	0	966.44	287	78	0.23	0.00004660							
	  210 	D1	88.60	0	967.87	8271	5014	0.48	0.00004656							
 * 	  211 	D1	89.45	980	985.09	16565	9097	0.44	0.00004611	1876592	0.20					
	  212 	D4	89.54	0	986.95	132	40	0.28	0.00004607							
	  213 	D1	89.57	0	987.46	5156	2827	0.44	0.00004605							
	  214 	D1	89.65	0	989.18	5074	2780	0.44	0.00004601							
 * 	  215 	D1	90.49	1000	1006.69	15382	9988	0.52	0.00004559	1316165	0.18					
	  216 	D1	90.65	0	1010.20	7993	5146	0.52	0.00004550							
 * 	  217 	D1	92.71	1050	1055.67	16837	7464	0.35	0.00004449	2871083	0.34					
	  218 	D4	92.81	0	1057.95	148	32	0.15	0.00004444							
	  219 	D1	92.85	0	1058.75	11277	4986	0.35	0.00004443							
	  220 	D1	92.98	0	1061.84	5334	2352	0.35	0.00004436							
 * 	  221 	D1	94.71	1100	1103.07	13955	10446	0.60	0.00004355	1013190	0.26					
	  222 	D1	96.38	0	1145.36	10040	4574	0.36	0.00004280							
 * 	  223 	D1	96.52	1150	1148.89	10049	4573	0.36	0.00004274	2727504	0.57					
	  224 	D1	96.63	0	1151.86	3842	1744	0.36	0.00004269							
	  225 	D1	96.71	0	1153.87	4779	2168	0.36	0.00004265							
	  226 	D1	96.81	0	1156.68	2464	1115	0.36	0.00004261							
 * 	  227 	D1	97.91	1200	1186.39	11761	10231	0.69	0.00004213	746138	0.38					
