[FRAGMENT LIST]
Std	Peak#	DyeName	MigTime	StdSize	EstSize	Height	Area	Width	Mobility	Efficiency	Resolution	Locus	AlleleID	NumRepeat	Comment	
	  1 	D1	16.66	0	147.69	4936	10133	1.69	0.00024759							
	  2 	D1	16.78	0	149.86	3085	4679	1.22	0.00024576							
	  3 	D1	16.88	0	151.57	4237	6613	1.26	0.00024433							
	  4 	D1	17.11	0	155.43	7141	8878	1.00	0.00024115							
	  5 	D1	17.29	0	158.59	4903	5980	0.99	0.00023859							
 * 	  6 	D1	17.46	160	161.56	42480	41660	0.79	0.00023623	578209	0.51					
	  7 	D1	17.71	0	165.87	3895	6443	1.35	0.00023287							
	  8 	D1	17.83	0	167.85	5835	7610	1.06	0.00023135							
	  9 	D1	17.90	0	169.06	14160	14838	0.84	0.00023043							
	  10 	D1	18.01	0	170.83	45141	47314	0.83	0.00022910							
	  11 	D1	18.14	0	173.07	5034	7072	1.13	0.00022743							
	  12 	D1	18.35	0	176.59	2905	4723	1.31	0.00022483							
 * 	  13 	D1	18.58	180	180.58	41883	37363	0.72	0.00022196	696930	0.57					
	  14 	D1	18.67	0	182.00	5708	8400	1.18	0.00022095							
	  15 	D1	18.83	0	184.68	3419	3495	0.83	0.00021906							
	  16 	D1	19.01	0	187.64	2245	3286	1.18	0.00021701							
 * 	  17 	D1	19.15	190	190.06	46076	42072	0.74	0.00021535	662783	0.55					
	  18 	D1	19.23	0	191.29	5027	7015	1.13	0.00021451							
	  19 	D1	19.33	0	192.89	4399	6240	1.15	0.00021344							
	  20 	D1	19.46	0	195.10	3818	5418	1.15	0.00021196							
 * 	  21 	D1	19.77	200	200.09	46881	43214	0.76	0.00020868	628894	0.54					
	  22 	D1	20.04	0	204.60	3168	3924	1.00	0.00020579							
	  23 	D1	20.09	0	205.33	3226	3832	0.95	0.00020533							
	  24 	D1	20.16	0	206.49	2438	2451	0.81	0.00020460							
	  25 	D1	20.31	0	208.93	3132	3583	0.93	0.00020308							
	  26 	D1	20.49	0	211.73	4669	4963	0.86	0.00020134							
	  27 	D1	20.68	0	214.86	2854	3098	0.88	0.00019944							
	  28 	D1	20.77	0	216.31	3529	4401	1.01	0.00019857							
 * 	  29 	D1	20.96	220	219.29	45315	41934	0.75	0.00019680	635996	0.55					
	  30 	D1	21.18	0	222.82	2879	3912	1.10	0.00019472							
	  31 	D1	21.24	0	223.67	3369	4453	1.07	0.00019423							
	  32 	D1	21.54	0	228.37	6545	5782	0.72	0.00019153							
	  33 	D1	21.60	0	229.38	3454	3665	0.86	0.00019096							
	  34 	D1	21.72	0	231.30	2327	3374	1.17	0.00018988							
	  35 	D1	21.87	0	233.51	2891	3570	1.00	0.00018865							
	  36 	D1	21.94	0	234.68	2417	2984	1.00	0.00018800							
	  37 	D1	22.07	0	236.66	5331	7818	1.18	0.00018691							
	  38 	D1	22.15	0	237.90	17673	15135	0.68	0.00018624							
 * 	  39 	D1	22.21	240	238.83	47806	40820	0.68	0.00018574	776189	0.61					
	  40 	D1	22.37	0	241.33	4770	4901	0.82	0.00018439							
	  41 	D1	22.52	0	243.57	2859	2993	0.85	0.00018320							
	  42 	D1	22.70	0	246.38	1838	2684	1.18	0.00018171							
	  43 	D1	22.85	0	248.65	2495	3620	1.17	0.00018053							
	  44 	D1	22.96	0	250.37	4865	5273	0.88	0.00017965							
	  45 	D1	23.09	0	252.38	2780	3942	1.14	0.00017861							
	  46 	D1	23.35	0	256.19	3335	4238	1.02	0.00017669							
 * 	  47 	D1	23.55	260	259.33	44557	45161	0.82	0.00017512	538318	0.50					
	  48 	D1	24.29	0	270.28	1253	724	0.84	0.00016983							
	  49 	D4	24.36	0	271.26	4247	3872	1.40	0.00016936							
	  50 	D4	24.55	0	274.17	3173	2363	1.25	0.00016800							
	  51 	D4	24.67	0	275.85	3723	2878	1.25	0.00016723							
	  52 	D4	24.76	0	277.21	5522	4859	1.24	0.00016660							
	  53 	D4	24.86	0	278.71	2877	2015	1.24	0.00016591							
 * 	  54 	D1	24.90	280	279.22	44930	41299	0.76	0.00016568	615794	0.54					
	  55 	D4	24.96	0	280.20	4198	3316	1.23	0.00016524							
	  56 	D4	25.07	0	281.78	1021	453	1.23	0.00016452							
	  57 	D4	25.17	0	283.24	1236	590	1.22	0.00016386							
	  58 	D4	25.40	0	286.49	1389	691	1.21	0.00016242							
	  59 	D1	25.59	0	289.26	47021	47635	0.85	0.00016120							
	  60 	D4	26.09	0	296.41	3148	3223	1.81	0.00015812							
	  61 	D1	26.21	0	298.18	7842	6644	0.81	0.00015738							
	  62 	D4	26.25	0	298.77	1103	723	1.80	0.00015713							
 * 	  63 	D1	26.29	300	299.31	40208	38565	0.80	0.00015690	556507	0.51					
	  64 	D4	26.42	0	301.11	1904	1567	1.79	0.00015615							
	  65 	D1	26.59	0	303.52	2312	3633	1.28	0.00015515							
	  66 	D4	26.60	0	303.68	988	394	1.26	0.00015508							
	  67 	D4	26.70	0	305.11	1444	679	1.26	0.00015450							
	  68 	D4	26.87	0	307.46	1827	952	1.25	0.00015354							
	  69 	D4	26.98	0	309.06	1175	505	1.24	0.00015289							
	  70 	D1	27.11	0	310.94	1070	888	0.66	0.00015213							
	  71 	D1	27.19	0	312.05	1265	1047	0.66	0.00015169							
	  72 	D1	27.25	0	312.86	1563	1288	0.66	0.00015137							
	  73 	D1	27.52	0	316.54	1928	2590	1.08	0.00014991							
 * 	  74 	D1	27.74	320	319.66	49131	47215	0.77	0.00014870	614680	0.53					
	  75 	D1	28.83	0	334.60	1443	1105	0.97	0.00014308							
	  76 	D1	28.98	0	336.63	2047	1498	0.82	0.00014234							
	  77 	D1	29.11	0	338.36	16351	15565	0.82	0.00014171							
 * 	  78 	D1	29.20	340	339.54	42979	42712	0.82	0.00014129	539928	0.49					
	  79 	D1	29.50	0	343.58	1480	1294	0.69	0.00013984							
	  80 	D1	29.56	0	344.46	1355	1184	0.69	0.00013954							
	  81 	D1	30.64	0	358.73	19041	18306	0.84	0.00013464							
 * 	  82 	D1	30.72	360	359.81	42504	42513	0.84	0.00013428	515610	0.47					
	  83 	D1	31.45	0	369.31	1882	1593	0.81	0.00013117							
 * 	  84 	D1	32.29	380	380.21	44365	41138	0.75	0.00012774	644752	0.52					
	  85 	D1	32.98	0	388.95	1416	2060	0.59	0.00012508							
	  86 	D1	33.04	0	389.66	1897	2929	0.59	0.00012487							
	  87 	D1	33.10	0	390.52	1691	3481	0.59	0.00012461							
	  88 	D1	33.20	0	391.69	3207	5641	0.59	0.00012426							
	  89 	D1	33.26	0	392.48	3144	6282	0.59	0.00012403							
	  90 	D1	33.33	0	393.43	3250	6991	0.59	0.00012375							
