[FRAGMENT LIST]
Std	Peak#	DyeName	MigTime	StdSize	EstSize	Height	Area	Width	Mobility	Efficiency	Resolution	Locus	AlleleID	NumRepeat	Comment	
	  91 	D1	33.41	0	394.43	3599	8049	0.59	0.00012345							
	  92 	D1	33.49	0	395.37	3210	8441	0.59	0.00012318							
	  93 	D4	33.55	0	396.21	1422	627	1.20	0.00012293							
	  94 	D1	33.57	0	396.46	3339	9398	0.58	0.00012286							
	  95 	D1	33.64	0	397.31	3761	6908	0.52	0.00012261							
	  96 	D4	33.73	0	398.45	13459	13331	1.19	0.00012228							
 * 	  97 	D1	33.90	400	400.55	51557	60442	0.74	0.00012168	664289	0.52					
	  98 	D1	34.07	0	402.69	7372	21665	0.73	0.00012107							
	  99 	D1	34.37	0	406.41	6534	16007	0.47	0.00012001							
	  100 	D1	34.44	0	407.24	6571	16527	0.47	0.00011978							
	  101 	D4	34.85	0	412.29	132627	162890	0.98	0.00011837							
	  102 	D4	35.46	0	419.83	165032	274693	1.33	0.00011632							
 * 	  103 	D1	35.52	420	420.55	28228	19921	0.56	0.00011613	1142654	0.66					
 * 	  104 	D1	37.19	440	440.70	50192	54005	0.70	0.00011092	726945	0.51					
	  105 	D1	37.42	0	443.48	5898	4568	0.21	0.00011023							
	  106 	D4	37.62	0	445.88	79863	125950	1.26	0.00010964							
	  107 	D4	37.90	0	449.21	90911	130944	1.15	0.00010883							
	  108 	D4	38.76	0	459.32	45923	79989	1.39	0.00010642							
 * 	  109 	D1	38.88	460	460.71	45711	41694	0.65	0.00010610	859652	0.54					
	  110 	D4	39.42	0	467.03	18452	20560	0.89	0.00010464							
	  111 	D4	39.52	0	468.19	10703	11887	0.89	0.00010438							
	  112 	D4	39.58	0	468.89	10586	11744	0.88	0.00010422							
	  113 	D4	39.67	0	469.91	11044	12208	0.88	0.00010399							
	  114 	D4	39.76	0	470.95	15318	16890	0.88	0.00010375							
	  115 	D4	39.86	0	472.10	18990	20899	0.88	0.00010350							
	  116 	D4	39.96	0	473.33	14276	15695	0.88	0.00010322							
	  117 	D4	40.05	0	474.36	22992	25171	0.87	0.00010299							
	  118 	D4	40.16	0	475.58	16287	17784	0.87	0.00010272							
	  119 	D4	40.29	0	477.13	13440	14623	0.87	0.00010238							
 * 	  120 	D1	40.60	480	480.72	47386	41063	0.66	0.00010159	823888	0.51					
	  121 	D1	41.04	0	485.79	1326	1356	0.28	0.00010050							
	  122 	D4	42.13	0	498.14	94973	123370	1.04	0.00009792							
 * 	  123 	D1	42.35	500	500.66	46343	40816	0.60	0.00009740	983985	0.54					
	  124 	D4	42.56	0	503.00	46398	64819	1.11	0.00009693							
	  125 	D1	43.28	0	511.14	2085	4729	0.60	0.00009531							
	  126 	D1	43.34	0	511.81	1813	3732	0.60	0.00009518							
 * 	  127 	D1	44.13	520	520.73	45540	36609	0.63	0.00009346	899462	0.50					
	  128 	D1	45.85	0	539.76	25830	19650	0.61	0.00008997							
 * 	  129 	D1	45.94	540	540.79	38646	29350	0.61	0.00008979	977488	0.50					
	  130 	D4	46.48	0	546.75	8818	13740	1.24	0.00008874							
	  131 	D1	46.75	0	549.71	1461	1551	0.43	0.00008823							
	  132 	D1	46.83	0	550.53	2000	2079	0.43	0.00008809							
	  133 	D1	46.89	0	551.19	1485	1956	0.43	0.00008798							
	  134 	D1	47.65	0	559.53	13242	10576	0.60	0.00008658							
 * 	  135 	D1	47.73	560	560.50	41965	32099	0.60	0.00008642	1004583	0.48					
 * 	  136 	D1	49.49	580	579.65	45276	33732	0.57	0.00008335	1123293	0.48					
 * 	  137 	D1	51.33	600	599.57	42059	30621	0.57	0.00008036	1124031	0.46					
	  138 	D1	52.18	0	608.75	1194	750	0.29	0.00007906							
	  139 	D1	53.02	0	617.89	2732	2220	0.56	0.00007779							
 * 	  140 	D1	53.16	620	619.29	42544	29904	0.56	0.00007760	1162223	0.44					
	  141 	D4	53.74	0	625.65	8400	8285	0.79	0.00007675							
	  142 	D4	54.27	0	631.30	14351	15311	0.85	0.00007601							
	  143 	D1	54.44	0	633.16	1816	1528	0.36	0.00007577							
 * 	  144 	D1	55.01	640	639.27	40035	27726	0.55	0.00007499	1190496	0.43					
	  145 	D1	55.59	0	645.57	1248	1368	0.69	0.00007420							
	  146 	D1	56.29	0	653.13	1184	650	0.37	0.00007328							
	  147 	D1	56.75	0	658.08	5189	3529	0.58	0.00007269							
 * 	  148 	D1	56.86	660	659.32	38981	27796	0.58	0.00007255	1084028	0.38					
	  149 	D1	57.98	0	671.40	1407	671	0.52	0.00007115							
	  150 	D1	58.42	0	676.23	1355	731	0.58	0.00007061							
	  151 	D1	58.60	0	678.20	22125	15476	0.58	0.00007039							
 * 	  152 	D1	58.70	680	679.24	30149	21194	0.58	0.00007027	1083385	0.36					
 * 	  153 	D1	60.52	700	699.14	100534	74247	0.59	0.00006815	1025413	0.33					
 * 	  154 	D1	62.37	720	719.43	97405	72704	0.60	0.00006613	1000010	0.31					
 * 	  155 	D1	64.21	740	739.82	89561	61055	0.55	0.00006424	1202971	0.33					
 * 	  156 	D1	65.84	760	757.94	51566	35982	0.56	0.00006266	1142047	0.30					
	  157 	D4	66.36	0	763.89	1101	390	0.24	0.00006216							
	  158 	D4	66.41	0	764.44	1431	492	0.24	0.00006211							
	  159 	D4	66.46	0	765.02	1239	430	0.24	0.00006206							
 * 	  160 	D1	67.82	780	780.40	57852	36892	0.51	0.00006082	1375795	0.32					
 * 	  161 	D1	69.56	800	800.33	55715	38338	0.55	0.00005930	1201010	0.29					
 * 	  162 	D1	71.34	820	820.92	57215	41199	0.58	0.00005782	1068588	0.27					
 * 	  163 	D1	73.07	840	841.34	57117	36643	0.51	0.00005645	1383210	0.31					
 * 	  164 	D1	74.73	860	861.18	60321	44179	0.58	0.00005520	1060854	0.27					
 * 	  165 	D1	76.43	880	881.67	54844	36109	0.52	0.00005397	1335277	0.32					
 * 	  166 	D1	77.98	900	900.76	37254	22905	0.50	0.00005290	1434627	0.34					
	  167 	D1	78.06	0	901.72	27365	16715	0.50	0.00005285							
 * 	  168 	D1	79.58	920	920.73	62607	53655	0.67	0.00005183	803230	0.27					
 * 	  169 	D1	81.10	940	939.97	54249	32232	0.47	0.00005086	1607960	0.41					
	  170 	D1	81.22	0	941.39	33410	19791	0.47	0.00005079							
	  171 	D1	81.32	0	942.74	1065	259	0.19	0.00005072							
 * 	  172 	D1	82.59	960	958.99	55992	26333	0.37	0.00004995	2571026	0.56					
	  173 	D1	82.69	0	960.27	53212	24975	0.37	0.00004989							
	  174 	D1	82.79	0	961.55	24621	11530	0.37	0.00004983							
	  175 	D1	83.47	0	970.41	2093	806	0.31	0.00004942							
 * 	  176 	D1	84.09	980	978.53	46988	22731	0.39	0.00004905	2415142	0.59					
	  177 	D1	84.19	0	979.84	36671	17716	0.39	0.00004900							
	  178 	D1	84.29	0	981.16	14372	6926	0.39	0.00004894							
 * 	  179 	D1	85.52	1000	997.42	46237	23337	0.40	0.00004823	2220247	0.62					
	  180 	D1	85.64	0	998.93	34825	17579	0.40	0.00004817							
	  181 	D1	85.75	0	1000.44	13206	6642	0.40	0.00004810							
	  182 	D1	86.87	0	1015.44	58444	21914	0.30	0.00004748							
	  183 	D1	86.97	0	1016.70	46716	17461	0.30	0.00004743							
	  184 	D1	87.06	0	1017.94	29999	11193	0.30	0.00004738							
	  185 	D1	87.15	0	1019.20	13232	4929	0.30	0.00004733							
	  186 	D1	88.16	0	1032.91	61717	25234	0.33	0.00004679							
	  187 	D1	88.27	0	1034.33	34929	14202	0.33	0.00004673							
	  188 	D1	88.37	0	1035.72	20411	8248	0.33	0.00004668							
	  189 	D1	88.48	0	1037.14	8050	3159	0.33	0.00004662							
 * 	  190 	D1	89.54	1050	1051.71	77283	63157	0.66	0.00004607	834339	0.49					
	  191 	D1	90.82	0	1069.48	39668	16149	0.32	0.00004542							
	  192 	D1	90.92	0	1070.90	35228	14293	0.32	0.00004537							
	  193 	D1	90.98	0	1071.68	7754	3187	0.32	0.00004534							
	  194 	D1	91.03	0	1072.44	24067	9751	0.32	0.00004531							
	  195 	D1	91.12	0	1073.70	17216	6977	0.32	0.00004527							
	  196 	D1	91.21	0	1074.84	9424	3831	0.32	0.00004523							
	  197 	D1	91.28	0	1075.87	4580	1874	0.32	0.00004519							
	  198 	D1	95.00	0	1128.77	37936	14828	0.31	0.00004342							
	  199 	D1	95.10	0	1130.30	35630	13917	0.31	0.00004337							
	  200 	D1	95.21	0	1131.78	30275	11797	0.31	0.00004333							
	  201 	D1	95.31	0	1133.29	22499	8730	0.31	0.00004328							
	  202 	D1	95.42	0	1134.85	14246	5496	0.31	0.00004323							
	  203 	D1	95.53	0	1136.41	5635	2139	0.31	0.00004318							
	  204 	D1	97.57	0	1166.39	30308	8594	0.23	0.00004228							
	  205 	D1	97.65	0	1167.51	32770	9267	0.23	0.00004224							
	  206 	D1	97.72	0	1168.57	30646	8688	0.23	0.00004221		
