Dye/Sample Peak	Sample File Name	Size	Height	Area	Data Point
"B,1"	MAR22_EW_2007-03-22_C12_unknown.fsa	230.72	389	8451	4462
"B,2"	MAR22_EW_2007-03-22_C12_unknown.fsa	233.64	438	8421	4500
"B,3"	MAR22_EW_2007-03-22_C12_unknown.fsa	249.13	178	2943	4698
"B,4"	MAR22_EW_2007-03-22_C12_unknown.fsa	256.24	568	13776	4791
"B,5"	MAR22_EW_2007-03-22_C12_unknown.fsa	258.87	672	21724	4826
"B,6"	MAR22_EW_2007-03-22_C12_unknown.fsa	261.3	295	4776	4858
"B,7"	MAR22_EW_2007-03-22_C12_unknown.fsa	273.26	415	14488	5014
"B,8"	MAR22_EW_2007-03-22_C12_unknown.fsa	275.02	240	2137	5037
"B,9"	MAR22_EW_2007-03-22_C12_unknown.fsa	275.48	233	3255	5043
"B,10"	MAR22_EW_2007-03-22_C12_unknown.fsa	287.86	669	20466	5206
"B,11"	MAR22_EW_2007-03-22_C12_unknown.fsa	291.64	311	7349	5256
"B,12"	MAR22_EW_2007-03-22_C12_unknown.fsa	299.1	211	3398	5355
"B,13"	MAR22_EW_2007-03-22_C12_unknown.fsa	303.08	1748	84258	5408
"B,14"	MAR22_EW_2007-03-22_C12_unknown.fsa	307.3	604	15742	5464
"B,15"	MAR22_EW_2007-03-22_C12_unknown.fsa	309.12	724	19066	5488
"B,16"	MAR22_EW_2007-03-22_C12_unknown.fsa	311.71	344	5163	5522
"B,17"	MAR22_EW_2007-03-22_C12_unknown.fsa	312.01	344	5354	5526
"B,18"	MAR22_EW_2007-03-22_C12_unknown.fsa	320	419	14013	5629
"B,19"	MAR22_EW_2007-03-22_C12_unknown.fsa	320.38	409	3242	5634
"B,20"	MAR22_EW_2007-03-22_C12_unknown.fsa	320.92	402	3171	5641
"B,21"	MAR22_EW_2007-03-22_C12_unknown.fsa	321.37	393	8318	5647
"B,22"	MAR22_EW_2007-03-22_C12_unknown.fsa	325.33	282	6186	5699
"B,23"	MAR22_EW_2007-03-22_C12_unknown.fsa	326.16	266	1319	5710
"B,24"	MAR22_EW_2007-03-22_C12_unknown.fsa	329.42	1813	70017	5753
"B,25"	MAR22_EW_2007-03-22_C12_unknown.fsa	333.26	1172	26672	5804
"B,26"	MAR22_EW_2007-03-22_C12_unknown.fsa	333.56	1189	22884	5808
"B,27"	MAR22_EW_2007-03-22_C12_unknown.fsa	337.61	263	7479	5862
"B,28"	MAR22_EW_2007-03-22_C12_unknown.fsa	338.88	227	1913	5879
"B,29"	MAR22_EW_2007-03-22_C12_unknown.fsa	339.55	198	1913	5888
"B,30"	MAR22_EW_2007-03-22_C12_unknown.fsa	340.08	178	1364	5895
"B,31"	MAR22_EW_2007-03-22_C12_unknown.fsa	340.61	162	805	5902
"B,32"	MAR22_EW_2007-03-22_C12_unknown.fsa	341.59	175	4526	5915
"B,33"	MAR22_EW_2007-03-22_C12_unknown.fsa	348.03	389	9854	6000
"B,34"	MAR22_EW_2007-03-22_C12_unknown.fsa	348.71	357	9309	6009
"B,35"	MAR22_EW_2007-03-22_C12_unknown.fsa	364.14	194	2833	6213
"B,36"	MAR22_EW_2007-03-22_C12_unknown.fsa	364.67	214	1839	6220
"B,37"	MAR22_EW_2007-03-22_C12_unknown.fsa	365.27	211	2440	6228
"B,38"	MAR22_EW_2007-03-22_C12_unknown.fsa	366.17	224	3142	6240
"B,39"	MAR22_EW_2007-03-22_C12_unknown.fsa	367	201	2124	6251
"B,40"	MAR22_EW_2007-03-22_C12_unknown.fsa	367.83	214	1436	6262
"B,41"	MAR22_EW_2007-03-22_C12_unknown.fsa	368.96	341	4587	6277
"B,42"	MAR22_EW_2007-03-22_C12_unknown.fsa	369.72	354	9880	6287
"B,43"	MAR22_EW_2007-03-22_C12_unknown.fsa	374.4	165	4851	6349
"B,44"	MAR22_EW_2007-03-22_C12_unknown.fsa	381.23	227	3808	6439
"B,45"	MAR22_EW_2007-03-22_C12_unknown.fsa	381.69	217	2999	6445
"B,46"	MAR22_EW_2007-03-22_C12_unknown.fsa	398	344	9188	6657
"B,47"	MAR22_EW_2007-03-22_C12_unknown.fsa	398.39	357	7291	6662
"B,48"	MAR22_EW_2007-03-22_C12_unknown.fsa	418.83	373	11502	6931
"B,49"	MAR22_EW_2007-03-22_C12_unknown.fsa	419.77	324	5549	6943
"B,50"	MAR22_EW_2007-03-22_C12_unknown.fsa	435.37	217	4272	7145
"B,51"	MAR22_EW_2007-03-22_C12_unknown.fsa	435.75	227	1332	7150
"B,52"	MAR22_EW_2007-03-22_C12_unknown.fsa	436.22	224	3827	7156
"B,53"	MAR22_EW_2007-03-22_C12_unknown.fsa	437.45	168	2843	7172
"B,54"	MAR22_EW_2007-03-22_C12_unknown.fsa	450.6	172	2774	7341
"B,55"	MAR22_EW_2007-03-22_C12_unknown.fsa	451.3	181	4958	7350
"B,56"	MAR22_EW_2007-03-22_C12_unknown.fsa	462.42	435	10832	7492
"B,57"	MAR22_EW_2007-03-22_C12_unknown.fsa	462.73	422	11317	7496
"B,58"	MAR22_EW_2007-03-22_C12_unknown.fsa	465.32	302	2060	7529
"B,59"	MAR22_EW_2007-03-22_C12_unknown.fsa	465.71	298	1757	7534
"B,60"	MAR22_EW_2007-03-22_C12_unknown.fsa	467.67	350	8681	7559
"B,61"	MAR22_EW_2007-03-22_C12_unknown.fsa	468.3	337	9724	7567
"B,62"	MAR22_EW_2007-03-22_C12_unknown.fsa	473.5	172	1881	7633
"B,63"	MAR22_EW_2007-03-22_C12_unknown.fsa	474.61	198	2830	7647
"B,64"	MAR22_EW_2007-03-22_C12_unknown.fsa	475.01	211	2001	7652
"B,65"	MAR22_EW_2007-03-22_C12_unknown.fsa	475.56	191	4743	7659
"B,66"	MAR22_EW_2007-03-22_C12_unknown.fsa	483.86	162	2440	7763
"B,67"	MAR22_EW_2007-03-22_C12_unknown.fsa	485.8	243	6017	7787
"B,68"	MAR22_EW_2007-03-22_C12_unknown.fsa	486.44	250	2596	7795
"B,69"	MAR22_EW_2007-03-22_C12_unknown.fsa	487.09	224	1686	7803
"B,70"	MAR22_EW_2007-03-22_C12_unknown.fsa	487.65	201	4951	7810
"B,71"	MAR22_EW_2007-03-22_C12_unknown.fsa	531.02	181	3398	8338
"B,72"	MAR22_EW_2007-03-22_C12_unknown.fsa	532.44	233	3856	8355
"B,73"	MAR22_EW_2007-03-22_C12_unknown.fsa	532.77	237	1390	8359
"B,74"	MAR22_EW_2007-03-22_C12_unknown.fsa	533.18	230	1143	8364
"B,75"	MAR22_EW_2007-03-22_C12_unknown.fsa	533.43	230	1978	8367
"B,76"	MAR22_EW_2007-03-22_C12_unknown.fsa	534.18	207	1221	8376
"B,77"	MAR22_EW_2007-03-22_C12_unknown.fsa	534.68	198	3853	8382
"B,78"	MAR22_EW_2007-03-22_C12_unknown.fsa	541.78	178	2339	8467
"B,79"	MAR22_EW_2007-03-22_C12_unknown.fsa	542.29	188	1257	8473
"B,80"	MAR22_EW_2007-03-22_C12_unknown.fsa	543.14	194	3239	8483
"B,81"	MAR22_EW_2007-03-22_C12_unknown.fsa	544.08	165	1267	8494
"B,82"	MAR22_EW_2007-03-22_C12_unknown.fsa	827.03	165	1731	11119
"B,83"	MAR22_EW_2007-03-22_C12_unknown.fsa	845.49	162	1439	11156
"B,84"	MAR22_EW_2007-03-22_C12_unknown.fsa	860	168	984	11161
"B,85"	MAR22_EW_2007-03-22_C12_unknown.fsa	870.88	178	1741	11171
"B,86"	MAR22_EW_2007-03-22_C12_unknown.fsa	876.11	201	2553	11178
"B,87"	MAR22_EW_2007-03-22_C12_unknown.fsa	882.3	168	1631	11189
"B,88"	MAR22_EW_2007-03-22_C12_unknown.fsa	888.08	168	1299	11203
"B,89"	MAR22_EW_2007-03-22_C12_unknown.fsa	892.21	181	2778	11216
"B,90"	MAR22_EW_2007-03-22_C12_unknown.fsa	894.08	178	1553	11223
"B,91"	MAR22_EW_2007-03-22_C12_unknown.fsa	896	175	1621	11231
